Sample ID,Grab ID,Profile ID,Sample Number,Collect DateTime,Depth (m),Site Type,Area,Locator,Site,Parameter,Value,Units,QualityId,Lab Qualifier,MDL,RDL,Text Value,Sample Info,Steward Note,Replicates,Replicate Of,Method,Date Analyzed,Data Source
119920,119920,50427,L16542-80,10/04/1999 12:35,18.1,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Dissolved Oxygen Saturation  Field,66.8,%,2,,,,,,,,,NONE,,KCEL
73547,73547,42609,L22398-10,09/17/2001 08:53:00 AM,9,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,Temperature,19.5,deg C,2,,,,,,,,,,,KCEL
114779,114779,49360,L4645-14,10/03/1994 13:13,1,Large Lakes,Lake Washington,832,Lake Washington near Coal Creek,Pheophytin a,0.36,mg/m3,2,,0.01,0.05,,,,,,SM10200-H,,KCEL
103322,103322,46817,L27833-26,04/08/2003 12:18,1,Large Lakes,Lake Sammamish,625,Lake Sammamish near outlet,Nitrite + Nitrate Nitrogen,0.23,mg/L,2,,0.02,0.04,,,,,,SM4500-NO3-F (03-03-012-002),04/09/2003,KCEL
118488,118488,50404,L45372-148,03/24/2008 01:13:00 PM,16.1,Large Lakes,Lake Washington,840,Lake Washington east of Mercer Island,Chlorophyll  Field,21.5,ug/L,2,,0.5,1,,,,,,HYDROLAB (SOP 205V4),,KCEL
87037,87037,44637,L42739-28,05/14/2007 09:53:00 AM,40.1,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Dissolved Oxygen Saturation  Field,83,%,2,,,,,,,,,Hydrolab (02-01-005-002),,KCEL
130561,130561,50811,L16944-3,12/08/1999 11:45,8,Large Lakes,Lake Union/Ship Canal,540,Ship Canal near Montlake Bridge,Total Nitrogen,0.44,mg/L,2,,0.05,0.1,,,,,,SM4500-N-C (03-03-013-000),12/09/1999,KCEL
35560,,11024,L66851-4,01/11/2017 8:55,,Streams and Rivers,Mileta,VA45A,Mileta Creek at Dockton Rd SW,Nitrite + Nitrate Nitrogen,4.47,mg/L,2,,0.02,0.08,,,,,,SM4500-NO3-F,01/12/2017,KCEL
83645,83645,44391,L16542-6,10/04/1999 9:01,20.5,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Ammonia Nitrogen,,mg/L,2,<MDL,0.01,0.02,,,,,,SM4500-NH3-G (03-03-012-000),10/05/1999,KCEL
135916,,53860,L55455-6,04/18/2012 09:20:00 AM,,Marine Intertidal,Central Puget Sound,KSSN04,West Point North Beach,Ammonia Nitrogen,0.0126,mg/L,1,,0.005,0.01,,,,,,KEROUEL & AMINOT 1997,04/26/2012,KCEL
149981,149981,58340,8315394,08/17/1983 12:00:00 AM,1,Large Lakes,Lake Union/Ship Canal,512,Ship Canal above locks,Fecal Streptococcus,54,ORG/100g,2,,,,54||King County Nstream Database/RS4,,,,,,,KCEL
114815,114815,49430,L43018-146,06/11/2007 12:52,5,Large Lakes,Lake Washington,832,Lake Washington near Coal Creek,Conductivity  Field,101,umhos/cm,2,,0.5,10,,,,,,Hydrolab (02-01-005-002),,KCEL
54693,54693,42121,L59975-8,03/24/2014 09:43:00 AM,7,Large Lakes,Lake Sammamish,612,Lake Sammamish mid-lake central,Temperature,7.63,deg C,2,,,,,,,,,HYDROLAB,03/24/2014,KCEL
18236,,32576,L14372-5,10/13/1998 10:50:00 AM,,Streams and Rivers,Issaquah,631,Issaquah Creek mouth at NW Sammamish Rd,pH  Field,7.6,pH,2,,,,,,,,,NONE,,KCEL
115652,115652,50108,L16369-42,07/19/1999 12:09:00 PM,14,Large Lakes,Lake Washington,840,Lake Washington east of Mercer Island,pH  Field,7.21,pH,2,,,,,,,,,,,KCEL
82578,82578,44084,L59351-40,12/10/2013 10:54,1,Large Lakes,Lake Washington,804,Lake Washington north end,Dissolved Oxygen Saturation  Field,87.8,%,2,,,,,,,,,HYDROLAB,12/10/2013,KCEL
79594,79594,42752,L9963-6,12/03/1996 15:11,14,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,Orthophosphate Phosphorus,0.013,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F,,KCEL
44456,44455,41172,L64120-3,10/27/2015 09:46:00 AM,3,Large Lakes,Lake Sammamish,611,Lake Sammamish mid-lake north,Dissolved Oxygen  Field,8.7,mg/L,2,,0.5,1,,,,,,KCEL SOP# 245,10/27/2015,KCEL
61827,61827,41416,L39841-148,07/17/2006 02:17:00 PM,5,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Conductivity  Field,105,umhos/cm,2,,0.5,10,,,,,,Hydrolab (02-01-005-002),,KCEL
21196,,29230,L7181-11,11/30/1995 03:33:00 PM,,Streams and Rivers,May,440,May Creek mouth at Lake Washington Blvd N,Dissolved Oxygen,10.7,mg/L,2,,0.5,1,,,,,,SM4500-O-B,,KCEL
26772,,14137,L36106-5,07/12/2005 9:20,,Streams and Rivers,Issaquah,A631,Issaquah Creek upstream of hatchery,Conductivity  Field,123,umhos/cm,2,,0.5,10,,,,,,Hydrolab (02-01-005-002),,KCEL
28729,,38960,L43718-9,09/04/2007 15:30,,Streams and Rivers,Sammamish,486,Sammamish River at NE Marymoor Way,pH  Field,7.63,pH,2,,,,,,,,,Hydrolab (02-01-005-002),,KCEL
36131,,37203,L68495-3,09/13/2017 10:17:00 AM,,Streams and Rivers,Springbrook/Black River,317,Springbrook Creek mouth at SW 16th St,Fecal Coliform,77,CFU/100ml,2,,,,,,,,,SM 9222D 20TH,09/14/2017,KCEL
51561,51561,42240,L48868-6,08/13/2009 09:53:00 AM,6,Large Lakes,Lake Sammamish,612,Lake Sammamish mid-lake central,Conductivity  Field,112,umhos/cm,2,,0.5,10,,,,,,HYDROLAB,,KCEL
164397,,70698,L38597-3,03/29/2006 11:20:00 AM,,Marine Intertidal,Central Puget Sound,ITCARKEEKP,Carkeek Park,Nitrite + Nitrate Nitrogen,0.369,mg/L,1,,0.02,0.04,,,,,,SM4500-NO3-F (03-03-012-003),03/31/2006,KCEL
33108,,5965,L60576-4,07/02/2014 10:18,,Streams and Rivers,Soos,A320,Soos Creek mouth below Soos Creek Hatchery,Dissolved Oxygen  Field,9.8,mg/L,2,,0.5,1,,,,,,HYDROLAB,07/02/2014,KCEL
82206,82206,43924,L49418-10,10/26/2009 01:40:00 PM,1,Large Lakes,Lake Washington,804,Lake Washington north end,Nitrite + Nitrate Nitrogen,0.024,mg/L,2,<RDL,0.01,0.04,,,,,,SM4500-NO3-F,11/05/2009,KCEL
108513,108513,47581,L46653-86,09/22/2008 12:10:00 PM,13,Large Lakes,Lake Washington,890,Lake Washington south of I-90,Dissolved Oxygen  Field,6.6,mg/L,2,,0.5,1,,,,,,HYDROLAB (SOP 205V4),,KCEL
127845,127845,49991,L67636-78,04/24/2017 11:10:00 AM,1,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Temperature,8.8,deg C,2,,,,,,,,,KCEL SOP# 245,04/24/2017,KCEL
139586,139586,55112,L22845-23,12/04/2001 16:22,6.9,Large Lakes,Lake Washington,834,Lake Washington Meydenbauer Bay,Orthophosphate Phosphorus,0.0114,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F (03-03-012-001),12/15/2001,KCEL
100847,100847,47014,L31826-19,04/19/2004 10:54:00 AM,1,Large Lakes,Lake Sammamish,M621,Lake Sammamish near Pine Lake Creek,Dissolved Oxygen  Field,11.4,mg/L,2,,,,,,,,,,,KCEL
133942,133942,52109,L13090-12,04/07/1998 15:41,9,Large Lakes,Lake Union/Ship Canal,518,Ship Canal near Fremont Bridge,Total Phosphorus,0.017,mg/L,2,,0.005,0.01,,,,,,SM4500-P-B E,04/08/1998,KCEL
126248,126248,50154,L59139-29,11/12/2013 11:34,0.73,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Total Nitrogen,0.277,mg/L,2,,0.05,0.1,,,,,,SM4500-N-C,11/19/2013,KCEL
73152,,42716,L16198-5,08/16/1999 12:00:00 AM,,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,Total Phosphorus,0.0171,mg/L,2,,0.005,0.01,,,,,,SM4500-P-B Fmod(03-03-013-000),08/18/1999,KCEL
63436,63436,42074,L45845-42,06/10/2008 9:50,12,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Dissolved Oxygen Saturation  Field,90.1,%,2,,,,,,,,,HYDROLAB (SOP 205V4),,KCEL
119095,119095,49536,L6996-27,10/04/1995 12:45,10,Large Lakes,Lake Washington,840,Lake Washington east of Mercer Island,Conductivity  Field,137,umhos/cm,2,,,,,,,,,NONE,,KCEL
120138,120138,50286,L18941-41,04/20/2000 12:02:00 PM,11,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Conductivity  Field,90.6,umhos/cm,2,,,,,,,,,,,KCEL
18237,,7220,L14372-6,10/13/1998 12:00:00 AM,,Streams and Rivers,Issaquah,A632,Issaquah Creek North Fork mouth at 4th Ave NW,Orthophosphate Phosphorus,0.0244,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F,10/15/1998,KCEL
99893,99893,47065,L42064-3,03/13/2007 10:28:00 AM,1,Large Lakes,Lake Sammamish,617,Lake Sammamish near Lewis Creek,Chlorophyll a,11.4,ug/L,2,,0.5,1,,,,,,EPA446.0 (03-02-002S-004),03/22/2007,KCEL
123176,123176,50101,L45277-108,03/10/2008 11:55,13,Large Lakes,Lake Washington,831,Lake Washington mid-lake south,Conductivity  Field,82.2,umhos/cm,2,,0.5,10,,,,,,HYDROLAB (SOP 205V4),,KCEL
